merchant_id,merchant_name,merchant_region,merchant_address
1,ElectroMegaMart,North America,"123 Tech Plaza, New York, NY 10001"
2,GadgetWorld,Europe,"35 Innovation Way, London, UK SE1 0AA"
3,TechParadise,Asia,"789 Circuit Rd, Tokyo, Japan 100-0005"
4,DigitalDepot,South America,"Av. de los Inventos 456, Buenos Aires, Argentina 1000"
5,ElectronixHaven,North America,"600 Silicon St, San Francisco, CA 94103"
6,GadgetSphere,Europe,"88 Technikstrasse, Berlin, Germany 10115"
7,TechTreasureTrove,Asia,"22 Innovation Blvd, Singapore 238838"
8,DeviceDome,South America,"Av. Tecnologia 321, São Paulo, Brazil 04578-000"
9,CircuitCentral,North America,"444 Electric Ave, Toronto, ON M5V 2N3"
10,GadgetGalaxy,Europe,"11 Rue du Progrès, Paris, France 75013"
